x_px,y_px
243.0,341.0
243.0,344.0
243.0,347.0
242.0,350.0
239.0,353.0
237.0,356.0
236.0,359.0
233.0,361.0
234.0,364.0
234.0,367.0
235.0,370.0
238.0,370.0
241.0,368.0
244.0,369.0
246.0,372.0
247.0,375.0
248.0,378.0
250.0,381.0
250.0,384.0
251.0,387.0
253.0,389.0
256.0,392.0
258.0,394.0
261.0,394.0
263.0,397.0
266.0,398.0
269.0,400.0
272.0,399.0
275.0,400.0
278.0,400.0
281.0,400.0
284.0,402.0
287.0,403.0
289.0,406.0
292.0,409.0
294.0,412.0
292.0,415.0
289.0,414.0
286.0,415.0
286.0,417.0
283.0,420.0
284.0,423.0
287.0,423.0
290.0,425.0
293.0,427.0
296.0,430.0
299.0,433.0
297.0,436.0
297.0,439.0
295.0,442.0
295.0,445.0
292.0,446.0
289.0,446.0
286.0,448.0
283.0,450.0
280.0,451.0
277.0,450.0
274.0,449.0
271.0,446.0
268.0,445.0
268.0,448.0
270.0,448.0
273.0,450.0
276.0,451.0
279.0,452.0
282.0,453.0
285.0,454.0
288.0,454.0
291.0,454.0
294.0,455.0
297.0,455.0
300.0,456.0
301.0,459.0
298.0,460.0
297.0,460.0
300.0,462.0
300.0,465.0
300.0,468.0
301.0,471.0
298.0,473.0
301.0,474.0
303.0,476.0
306.0,478.0
307.0,481.0
310.0,482.0
313.0,485.0
315.0,487.0
318.0,487.0
320.0,490.0
318.0,493.0
315.0,492.0
315.0,494.0
318.0,495.0
321.0,496.0
324.0,495.0
327.0,495.0
330.0,498.0
333.0,495.0
336.0,497.0
338.0,500.0
340.0,503.0
341.0,504.0
344.0,505.0
347.0,506.0
350.0,506.0
353.0,508.0
354.0,511.0
356.0,514.0
358.0,517.0
357.0,520.0
358.0,523.0
357.0,526.0
358.0,529.0
361.0,530.0
364.0,530.0
367.0,528.0
366.0,525.0
367.0,522.0
370.0,519.0
373.0,519.0
375.0,518.0
374.0,515.0
374.0,512.0
372.0,509.0
373.0,506.0
372.0,503.0
373.0,500.0
373.0,497.0
376.0,494.0
378.0,491.0
380.0,488.0
381.0,485.0
383.0,482.0
385.0,479.0
387.0,476.0
390.0,473.0
393.0,471.0
396.0,471.0
399.0,472.0
402.0,473.0
405.0,475.0
408.0,475.0
411.0,477.0
414.0,477.0
417.0,477.0
420.0,476.0
423.0,476.0
426.0,476.0
429.0,477.0
432.0,478.0
435.0,479.0
438.0,478.0
441.0,476.0
444.0,476.0
447.0,473.0
450.0,474.0
453.0,476.0
456.0,476.0
459.0,478.0
462.0,478.0
465.0,478.0
468.0,478.0
471.0,480.0
474.0,480.0
477.0,481.0
480.0,482.0
483.0,482.0
486.0,482.0
489.0,481.0
492.0,483.0
495.0,483.0
498.0,485.0
501.0,486.0
502.0,484.0
502.0,481.0
503.0,478.0
502.0,475.0
501.0,472.0
499.0,469.0
497.0,466.0
494.0,464.0
492.0,461.0
495.0,459.0
498.0,458.0
501.0,459.0
501.0,456.0
504.0,455.0
507.0,456.0
508.0,459.0
508.0,462.0
509.0,465.0
511.0,467.0
511.0,465.0
509.0,462.0
508.0,459.0
508.0,456.0
508.0,453.0
507.0,450.0
508.0,447.0
509.0,444.0
509.0,441.0
510.0,438.0
513.0,437.0
515.0,434.0
518.0,434.0
521.0,435.0
523.0,438.0
523.0,441.0
526.0,440.0
529.0,442.0
530.0,441.0
530.0,438.0
529.0,435.0
528.0,432.0
528.0,429.0
526.0,426.0
527.0,423.0
530.0,421.0
533.0,422.0
535.0,423.0
538.0,422.0
539.0,421.0
537.0,419.0
534.0,417.0
532.0,418.0
529.0,419.0
526.0,419.0
523.0,420.0
520.0,420.0
517.0,419.0
514.0,418.0
511.0,415.0
509.0,412.0
506.0,409.0
503.0,408.0
500.0,406.0
497.0,406.0
494.0,405.0
491.0,404.0
488.0,404.0
485.0,405.0
482.0,404.0
479.0,402.0
479.0,399.0
482.0,398.0
485.0,398.0
487.0,396.0
489.0,393.0
487.0,390.0
488.0,387.0
487.0,384.0
486.0,381.0
487.0,378.0
488.0,375.0
486.0,374.0
483.0,375.0
480.0,377.0
477.0,378.0
474.0,378.0
471.0,377.0
471.0,380.0
470.0,383.0
467.0,382.0
465.0,379.0
465.0,376.0
467.0,373.0
469.0,370.0
470.0,367.0
467.0,368.0
464.0,368.0
461.0,367.0
458.0,367.0
455.0,367.0
452.0,365.0
450.0,362.0
449.0,359.0
449.0,356.0
448.0,355.0
446.0,352.0
443.0,353.0
440.0,353.0
437.0,351.0
435.0,348.0
436.0,345.0
436.0,342.0
434.0,341.0
431.0,341.0
428.0,341.0
425.0,341.0
422.0,341.0
419.0,341.0
416.0,341.0
413.0,341.0
410.0,341.0
407.0,341.0
404.0,341.0
401.0,341.0
398.0,341.0
395.0,341.0
392.0,341.0
389.0,341.0
386.0,341.0
383.0,341.0
380.0,341.0
377.0,341.0
374.0,341.0
371.0,341.0
368.0,341.0
365.0,341.0
362.0,341.0
359.0,341.0
356.0,341.0
353.0,341.0
350.0,341.0
347.0,341.0
344.0,341.0
341.0,341.0
338.0,341.0
335.0,341.0
332.0,341.0
329.0,341.0
326.0,341.0
323.0,341.0
320.0,341.0
317.0,341.0
314.0,341.0
311.0,341.0
308.0,341.0
305.0,341.0
302.0,341.0
299.0,341.0
296.0,341.0
293.0,341.0
290.0,341.0
287.0,341.0
284.0,341.0
281.0,341.0
278.0,341.0
275.0,341.0
272.0,341.0
269.0,341.0
266.0,341.0
263.0,341.0
260.0,341.0
257.0,341.0
254.0,341.0
251.0,341.0
248.0,341.0
245.0,341.0
